ModelWeb Browser Results

msis model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 0.00,
Time_type = Local
Coordinate_type = Geographic
Latitude=   69.58, Longitude=   19.23, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  O, cm-3 
3  N2, cm-3
4  O2, cm-3
5  He, cm-3 

1         2         3         4         5         
  171.0  7.306E+09  1.182E+10  1.159E+09  1.469E+07
  172.0  7.104E+09  1.133E+10  1.106E+09  1.457E+07
  173.0  6.909E+09  1.087E+10  1.055E+09  1.445E+07
  174.0  6.721E+09  1.043E+10  1.007E+09  1.433E+07
  175.0  6.540E+09  1.001E+10  9.615E+08  1.421E+07
  176.0  6.366E+09  9.608E+09  9.184E+08  1.410E+07
  177.0  6.197E+09  9.227E+09  8.774E+08  1.399E+07
  178.0  6.035E+09  8.864E+09  8.386E+08  1.388E+07
  179.0  5.878E+09  8.517E+09  8.018E+08  1.377E+07
  180.0  5.727E+09  8.187E+09  7.667E+08  1.367E+07
  181.0  5.581E+09  7.871E+09  7.335E+08  1.357E+07
  182.0  5.439E+09  7.569E+09  7.018E+08  1.347E+07
  183.0  5.302E+09  7.281E+09  6.718E+08  1.337E+07
  184.0  5.170E+09  7.005E+09  6.431E+08  1.327E+07
  185.0  5.042E+09  6.742E+09  6.159E+08  1.318E+07
  186.0  4.919E+09  6.489E+09  5.899E+08  1.308E+07
  187.0  4.799E+09  6.248E+09  5.652E+08  1.299E+07
  188.0  4.683E+09  6.017E+09  5.416E+08  1.290E+07
  189.0  4.570E+09  5.796E+09  5.192E+08  1.281E+07
  190.0  4.461E+09  5.584E+09  4.978E+08  1.273E+07
  191.0  4.356E+09  5.380E+09  4.773E+08  1.264E+07
  192.0  4.253E+09  5.186E+09  4.578E+08  1.256E+07
  193.0  4.154E+09  4.999E+09  4.392E+08  1.248E+07
  194.0  4.057E+09  4.820E+09  4.214E+08  1.239E+07
  195.0  3.964E+09  4.648E+09  4.045E+08  1.231E+07
  196.0  3.873E+09  4.482E+09  3.882E+08  1.223E+07
  197.0  3.784E+09  4.324E+09  3.727E+08  1.216E+07
  198.0  3.699E+09  4.172E+09  3.579E+08  1.208E+07
  199.0  3.615E+09  4.026E+09  3.437E+08  1.201E+07
  200.0  3.534E+09  3.885E+09  3.302E+08  1.193E+07
  201.0  3.456E+09  3.750E+09  3.174E+08  1.185E+07
  202.0  3.379E+09  3.620E+09  3.050E+08  1.178E+07
  203.0  3.305E+09  3.495E+09  2.931E+08  1.170E+07
  204.0  3.232E+09  3.375E+09  2.817E+08  1.163E+07
  205.0  3.162E+09  3.260E+09  2.708E+08  1.157E+07
  206.0  3.093E+09  3.149E+09  2.603E+08  1.150E+07
  207.0  3.027E+09  3.042E+09  2.503E+08  1.143E+07
  208.0  2.962E+09  2.939E+09  2.407E+08  1.136E+07
  209.0  2.899E+09  2.840E+09  2.315E+08  1.130E+07
  210.0  2.837E+09  2.744E+09  2.227E+08  1.123E+07
  211.0  2.777E+09  2.652E+09  2.143E+08  1.117E+07
  212.0  2.718E+09  2.564E+09  2.062E+08  1.111E+07
  213.0  2.661E+09  2.478E+09  1.984E+08  1.105E+07
  214.0  2.606E+09  2.396E+09  1.909E+08  1.098E+07
  215.0  2.552E+09  2.317E+09  1.838E+08  1.092E+07
  216.0  2.499E+09  2.240E+09  1.769E+08  1.086E+07
  217.0  2.447E+09  2.167E+09  1.703E+08  1.080E+07
  218.0  2.397E+09  2.096E+09  1.640E+08  1.075E+07
  219.0  2.348E+09  2.027E+09  1.579E+08  1.069E+07
  220.0  2.301E+09  1.961E+09  1.520E+08  1.063E+07
  221.0  2.254E+09  1.897E+09  1.464E+08  1.057E+07
  222.0  2.208E+09  1.836E+09  1.410E+08  1.052E+07
  223.0  2.164E+09  1.776E+09  1.359E+08  1.046E+07
  224.0  2.121E+09  1.719E+09  1.309E+08  1.041E+07
  225.0  2.078E+09  1.664E+09  1.261E+08  1.035E+07
  226.0  2.037E+09  1.610E+09  1.215E+08  1.030E+07
  227.0  1.996E+09  1.559E+09  1.171E+08  1.024E+07
  228.0  1.957E+09  1.509E+09  1.128E+08  1.019E+07
  229.0  1.918E+09  1.461E+09  1.088E+08  1.014E+07
  230.0  1.881E+09  1.414E+09  1.048E+08  1.009E+07
  231.0  1.844E+09  1.369E+09  1.010E+08  1.003E+07
  232.0  1.808E+09  1.326E+09  9.741E+07  9.984E+06
  233.0  1.773E+09  1.284E+09  9.391E+07  9.934E+06
  234.0  1.739E+09  1.243E+09  9.054E+07  9.884E+06
  235.0  1.705E+09  1.204E+09  8.730E+07  9.834E+06
  236.0  1.672E+09  1.166E+09  8.418E+07  9.785E+06
  237.0  1.640E+09  1.130E+09  8.118E+07  9.736E+06
  238.0  1.609E+09  1.094E+09  7.829E+07  9.688E+06
  239.0  1.578E+09  1.060E+09  7.551E+07  9.640E+06
  240.0  1.548E+09  1.027E+09  7.283E+07  9.593E+06
  241.0  1.518E+09  9.951E+08  7.025E+07  9.546E+06
  242.0  1.490E+09  9.641E+08  6.777E+07  9.499E+06
  243.0  1.462E+09  9.342E+08  6.538E+07  9.453E+06
  244.0  1.434E+09  9.052E+08  6.308E+07  9.407E+06
  245.0  1.407E+09  8.772E+08  6.086E+07  9.362E+06
  246.0  1.381E+09  8.501E+08  5.872E+07  9.317E+06
  247.0  1.355E+09  8.239E+08  5.666E+07  9.272E+06
  248.0  1.330E+09  7.985E+08  5.468E+07  9.227E+06
  249.0  1.305E+09  7.740E+08  5.277E+07  9.183E+06
  250.0  1.281E+09  7.502E+08  5.092E+07  9.140E+06
  251.0  1.257E+09  7.272E+08  4.915E+07  9.096E+06
  252.0  1.234E+09  7.050E+08  4.744E+07  9.053E+06
  253.0  1.211E+09  6.834E+08  4.579E+07  9.011E+06
  254.0  1.189E+09  6.625E+08  4.420E+07  8.968E+06
  255.0  1.167E+09  6.423E+08  4.266E+07  8.926E+06
  256.0  1.146E+09  6.228E+08  4.119E+07  8.884E+06
  257.0  1.125E+09  6.038E+08  3.976E+07  8.843E+06
  258.0  1.104E+09  5.855E+08  3.839E+07  8.802E+06
  259.0  1.084E+09  5.678E+08  3.706E+07  8.761E+06
  260.0  1.064E+09  5.506E+08  3.579E+07  8.720E+06
  261.0  1.045E+09  5.339E+08  3.455E+07  8.680E+06
  262.0  1.026E+09  5.178E+08  3.337E+07  8.640E+06
  263.0  1.008E+09  5.021E+08  3.222E+07  8.600E+06
  264.0  9.893E+08  4.870E+08  3.111E+07  8.561E+06
  265.0  9.715E+08  4.723E+08  3.005E+07  8.522E+06
  266.0  9.541E+08  4.581E+08  2.902E+07  8.483E+06
  267.0  9.370E+08  4.444E+08  2.803E+07  8.444E+06
  268.0  9.202E+08  4.310E+08  2.707E+07  8.406E+06
  269.0  9.037E+08  4.181E+08  2.614E+07  8.367E+06
  270.0  8.876E+08  4.056E+08  2.525E+07  8.330E+06
  271.0  8.718E+08  3.934E+08  2.439E+07  8.292E+06
  272.0  8.563E+08  3.817E+08  2.356E+07  8.255E+06
  273.0  8.411E+08  3.703E+08  2.276E+07  8.217E+06
  274.0  8.262E+08  3.592E+08  2.199E+07  8.180E+06
  275.0  8.116E+08  3.485E+08  2.124E+07  8.144E+06
  276.0  7.972E+08  3.382E+08  2.052E+07  8.107E+06
  277.0  7.831E+08  3.281E+08  1.983E+07  8.071E+06
  278.0  7.693E+08  3.183E+08  1.916E+07  8.035E+06
  279.0  7.558E+08  3.089E+08  1.851E+07  7.999E+06
  280.0  7.425E+08  2.997E+08  1.788E+07  7.964E+06
  281.0  7.295E+08  2.908E+08  1.728E+07  7.928E+06
  282.0  7.167E+08  2.822E+08  1.670E+07  7.893E+06
