#    km   O [cm-3]  N2 [cm-3]  O2 [cm-3]  He [cm-3]
  179.4  4.826E+09  4.996E+09  4.470E+08  2.767E+07
  180.0  4.737E+09  4.851E+09  4.322E+08  2.753E+07
  180.6  4.650E+09  4.709E+09  4.179E+08  2.739E+07
  181.2  4.564E+09  4.572E+09  4.042E+08  2.726E+07
  181.8  4.481E+09  4.440E+09  3.909E+08  2.712E+07
  182.4  4.399E+09  4.312E+09  3.781E+08  2.699E+07
  183.0  4.319E+09  4.187E+09  3.658E+08  2.686E+07
  183.6  4.241E+09  4.067E+09  3.538E+08  2.673E+07
  184.2  4.164E+09  3.950E+09  3.423E+08  2.660E+07
  184.8  4.089E+09  3.837E+09  3.312E+08  2.647E+07
  185.4  4.016E+09  3.728E+09  3.205E+08  2.634E+07
  186.0  3.944E+09  3.622E+09  3.102E+08  2.622E+07
  186.6  3.873E+09  3.519E+09  3.002E+08  2.610E+07
  187.2  3.805E+09  3.419E+09  2.905E+08  2.597E+07
  187.8  3.737E+09  3.322E+09  2.812E+08  2.585E+07
  188.4  3.671E+09  3.229E+09  2.722E+08  2.573E+07
  189.0  3.606E+09  3.138E+09  2.635E+08  2.561E+07
  189.6  3.543E+09  3.050E+09  2.551E+08  2.549E+07
  190.2  3.481E+09  2.964E+09  2.470E+08  2.537E+07
  190.8  3.420E+09  2.881E+09  2.392E+08  2.526E+07
  191.4  3.360E+09  2.801E+09  2.316E+08  2.514E+07
  192.0  3.302E+09  2.723E+09  2.243E+08  2.503E+07
  192.6  3.245E+09  2.647E+09  2.172E+08  2.492E+07
  193.2  3.189E+09  2.573E+09  2.103E+08  2.480E+07
  193.8  3.134E+09  2.502E+09  2.037E+08  2.469E+07
  194.4  3.080E+09  2.433E+09  1.973E+08  2.458E+07
  195.0  3.027E+09  2.366E+09  1.911E+08  2.447E+07
  195.6  2.975E+09  2.301E+09  1.852E+08  2.436E+07
  196.2  2.924E+09  2.237E+09  1.794E+08  2.425E+07
  196.8  2.875E+09  2.176E+09  1.738E+08  2.415E+07
  197.4  2.826E+09  2.116E+09  1.684E+08  2.404E+07
  198.0  2.778E+09  2.058E+09  1.631E+08  2.394E+07
  198.6  2.731E+09  2.002E+09  1.581E+08  2.383E+07
  199.2  2.685E+09  1.947E+09  1.532E+08  2.373E+07
  199.8  2.640E+09  1.894E+09  1.484E+08  2.362E+07
  200.4  2.595E+09  1.843E+09  1.439E+08  2.351E+07
  201.0  2.552E+09  1.793E+09  1.394E+08  2.341E+07
  201.6  2.509E+09  1.744E+09  1.351E+08  2.331E+07
  202.2  2.467E+09  1.697E+09  1.310E+08  2.321E+07
  202.8  2.426E+09  1.651E+09  1.270E+08  2.311E+07
  203.4  2.386E+09  1.607E+09  1.231E+08  2.301E+07
  204.0  2.347E+09  1.563E+09  1.193E+08  2.292E+07
  204.6  2.308E+09  1.521E+09  1.156E+08  2.282E+07
  205.2  2.270E+09  1.480E+09  1.121E+08  2.272E+07
  205.8  2.232E+09  1.441E+09  1.087E+08  2.263E+07
  206.4  2.196E+09  1.402E+09  1.054E+08  2.253E+07
  207.0  2.160E+09  1.364E+09  1.022E+08  2.244E+07
  207.6  2.124E+09  1.328E+09  9.907E+07  2.235E+07
  208.2  2.089E+09  1.293E+09  9.606E+07  2.225E+07
  208.8  2.055E+09  1.258E+09  9.315E+07  2.216E+07
  209.4  2.022E+09  1.225E+09  9.032E+07  2.207E+07
  210.0  1.989E+09  1.192E+09  8.759E+07  2.198E+07
  210.6  1.957E+09  1.160E+09  8.494E+07  2.189E+07
  211.2  1.925E+09  1.130E+09  8.238E+07  2.180E+07
  211.8  1.894E+09  1.100E+09  7.990E+07  2.171E+07
  212.4  1.863E+09  1.070E+09  7.749E+07  2.162E+07
  213.0  1.833E+09  1.042E+09  7.516E+07  2.153E+07
  213.6  1.804E+09  1.015E+09  7.290E+07  2.144E+07
  214.2  1.775E+09  9.878E+08  7.071E+07  2.136E+07
  214.8  1.746E+09  9.618E+08  6.859E+07  2.127E+07
  215.4  1.718E+09  9.365E+08  6.653E+07  2.118E+07
  216.0  1.691E+09  9.118E+08  6.454E+07  2.110E+07
  216.6  1.664E+09  8.879E+08  6.261E+07  2.101E+07
  217.2  1.637E+09  8.646E+08  6.074E+07  2.093E+07
  217.8  1.611E+09  8.419E+08  5.893E+07  2.084E+07
  218.4  1.586E+09  8.198E+08  5.717E+07  2.076E+07
  219.0  1.561E+09  7.984E+08  5.547E+07  2.068E+07
  219.6  1.536E+09  7.775E+08  5.382E+07  2.059E+07
  220.2  1.512E+09  7.572E+08  5.222E+07  2.051E+07
  220.8  1.488E+09  7.374E+08  5.067E+07  2.043E+07
  221.4  1.464E+09  7.182E+08  4.916E+07  2.035E+07
  222.0  1.441E+09  6.995E+08  4.770E+07  2.027E+07
  222.6  1.419E+09  6.813E+08  4.629E+07  2.019E+07
  223.2  1.396E+09  6.636E+08  4.492E+07  2.011E+07
  223.8  1.374E+09  6.463E+08  4.359E+07  2.003E+07
  224.4  1.353E+09  6.296E+08  4.230E+07  1.995E+07
  225.0  1.332E+09  6.132E+08  4.105E+07  1.987E+07
  225.6  1.311E+09  5.973E+08  3.984E+07  1.979E+07
  226.2  1.290E+09  5.819E+08  3.867E+07  1.972E+07
  226.8  1.270E+09  5.668E+08  3.753E+07  1.964E+07
  227.4  1.251E+09  5.522E+08  3.642E+07  1.956E+07
  228.0  1.231E+09  5.379E+08  3.535E+07  1.949E+07
  228.6  1.212E+09  5.240E+08  3.431E+07  1.941E+07
  229.2  1.193E+09  5.105E+08  3.330E+07  1.934E+07
  229.8  1.175E+09  4.973E+08  3.233E+07  1.926E+07
  230.4  1.157E+09  4.845E+08  3.138E+07  1.919E+07
  231.0  1.139E+09  4.720E+08  3.046E+07  1.911E+07
  231.6  1.121E+09  4.599E+08  2.957E+07  1.904E+07
  232.2  1.104E+09  4.481E+08  2.870E+07  1.897E+07
  232.8  1.087E+09  4.366E+08  2.786E+07  1.889E+07
  233.4  1.070E+09  4.254E+08  2.705E+07  1.882E+07
  234.0  1.054E+09  4.145E+08  2.626E+07  1.875E+07
  234.6  1.038E+09  4.038E+08  2.549E+07  1.868E+07
